ind,definition,total_views,total_likes,avg_daily_views,total_comments,publish_date,title,tags,k,quarter,grade_level,teacher,episode,subject,duration_in_seconds,tag_type
982,hd,2324,38,6,0,2020-12-23,SHS Personal Development Q1 Ep10: Stress,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,mark anthony jamisal,Episode 10,physical educational development,1207,9
983,hd,6565,119,16,7,2020-12-23,SHS  PE and Health Q1 Ep7: Creating a Home-based Workout,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,rolly manayan,Episode 07,physical education & health,1008,9
984,hd,56468,951,140,41,2020-12-23,"SHS MIL Q1 Ep2: Media Literacy, Information Literacy and Technology Literacy","['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,brex brayan nicolas,Episode 02,media and information literacy,1599,9
985,hd,8029,126,20,75,2020-12-22,SHS Philosophy Q1 Ep7: Human Transcendence,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,jossa andrea mae joble,Episode 07,philosophy,1257,9
986,hd,59817,1246,147,14,2020-12-21,SHS Oral Communication Q1 Ep3: Barriers to Communication,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,derry ann belen,Episode 03,oral communication,1357,9
987,hd,22565,373,55,20,2020-12-16,SHS MIL Q1 Ep5: Types of Media,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,brex brayan nicolas,Episode 05,media and information literacy,1223,9
988,hd,7271,152,18,6,2020-12-16,SHS Personal Development Q1 Ep3: Challenges of Adolescence Significant People in Life,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,mark anthony jamisal,Episode 03,physical educational development,1558,9
989,sd,28812,519,70,149,2020-12-16,SHS Philosophy Q1 Ep4: Distinguishing Opinion from Truth,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,joshua ebora,Episode 04,philosophy,1502,9
990,sd,14117,229,34,9,2020-12-16,SHS Statistics Q1 Ep8: Central Limit Theorem,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,reverie vargas,Episode 08,statistics,1724,9
991,sd,989,14,2,0,2020-12-16,SHS Personal Development Q1 Ep14: Ways to Improve Brain Function,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,mark anthony jamisal,Episode 14,physical educational development,1218,9
